sequence_id	protein_id	gene_id	assembly_id	organism	taxid	cog_id	protein_length	cog_footprint	cog_footprint_length	membership_class	membership_description	bit_score	e_value	cog_profile_length	profile_footprint	protein_coverage	profile_coverage	length_outlier	x_fraction	qc_flags	qc_status
GCA_000008085.1|NEQ088|AAR38943.1	AAR38943.1	NEQ088	GCA_000008085.1	Nanoarchaeum equitans Kin4-M	228908	COG0258	339	1-339	339	0	most of protein + most of COG profile	159.0	3.46e-46	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_000200715.1|CENSYa_0270|ABK76912.1	ABK76912.1	CENSYa_0270	GCA_000200715.1	Cenarchaeum symbiosum A	414004	COG0258	340	1-340	340	0	most of protein + most of COG profile	148.0	6.23e-42	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_000018565.1|Haur_0069|ABX02721.1	ABX02721.1	Haur_0069	GCA_000018565.1	Herpetosiphon aurantiacus DSM 785	316274	COG0258	953	1-316	316	1	most of COG profile + part of protein	256.0	5.36e-78	310	7-308	0.3316	0.9742	false	0.0000		keep
GCA_000517565.1|DESACE_07085|AHF97334.1	AHF97334.1	DESACE_07085	GCA_000517565.1	Desulfurella acetivorans A63	694431	COG0258	759	1-287	287	1	most of COG profile + part of protein	211.0	1.25e-62	310	10-297	0.3781	0.9290	false	0.0000		keep
GCA_000830275.1|QT03_C0001G0183|AJF59690.1	AJF59690.1	QT03_C0001G0183	GCA_000830275.1	archaeon GW2011_AR10	1579370	COG0258	342	1-342	342	0	most of protein + most of COG profile	138.0	3.65e-38	310	1-310	1.0000	1.0000	false	0.0000		keep
GCA_000830295.1|QT06_C0001G0601|AJF61441.1	AJF61441.1	QT06_C0001G0601	GCA_000830295.1	archaeon GW2011_AR15	1579373	COG0258	339	1-339	339	0	most of protein + most of COG profile	145.0	6.26e-41	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_000830315.1|QT11_C0001G0336|AJF62485.1	AJF62485.1	QT11_C0001G0336	GCA_000830315.1	archaeon GW2011_AR20	1579378	COG0258	337	1-337	337	0	most of protein + most of COG profile	154.0	4.19e-44	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_000972765.1|IMCC26134_02845|AKC81977.1	AKC81977.1	IMCC26134_02845	GCA_000972765.1	Verrucomicrobia bacterium IMCC26134	1637999	COG0258	293	1-293	293	2	most of protein + part of COG profile	213.0	1.12e-67	310	10-248	1.0000	0.7710	false	0.0000	membership_class_2	review
GCA_001007975.1|XF24_00005|AKH32370.1	AKH32370.1	XF24_00005	GCA_001007975.1	candidate division SR1 bacterium Aalborg_AAW-1	1643353	COG0258	298	1-298	298	0	most of protein + most of COG profile	212.0	4.14e-67	310	10-304	1.0000	0.9516	false	0.0000		keep
GCA_001029635.1|UX70_C0001G0356|AKM78081.1	AKM78081.1	UX70_C0001G0356	GCA_001029635.1	Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1	1619007	COG0258	724	1-312	312	1	most of COG profile + part of protein	218.0	3.15e-65	310	10-303	0.4309	0.9484	false	0.0000		keep
GCA_001029735.1|UT28_C0001G0502|AKM82307.1	AKM82307.1	UT28_C0001G0502	GCA_001029735.1	Berkelbacteria bacterium GW2011_GWE1_39_12	1618337	COG0258	302	1-302	302	0	most of protein + most of COG profile	221.0	1.13e-70	310	10-305	1.0000	0.9548	false	0.0000		keep
GCA_001029755.1|UR17_C0001G0388|AKM83190.1	AKM83190.1	UR17_C0001G0388	GCA_001029755.1	Candidatus Woesebacteria bacterium GW2011_GWF1_31_35	1618600	COG0258	312	1-312	312	0	most of protein + most of COG profile	225.0	4.58e-72	310	5-303	1.0000	0.9645	false	0.0000		keep
GCA_001029795.1|VE98_C0001G0548|AKM85002.1	AKM85002.1	VE98_C0001G0548	GCA_001029795.1	candidate division Kazan bacterium GW2011_GWA1_50_15	1620412	COG0258	725	1-301	301	1	most of COG profile + part of protein	255.0	2.71e-79	310	7-301	0.4152	0.9516	false	0.0000		keep
GCA_001430755.1|PeribacterA2_0586|ALM09962.1	ALM09962.1	PeribacterA2_0586	GCA_001430755.1	Candidatus Peribacter riflensis	1735162	COG0258	307	1-307	307	0	most of protein + most of COG profile	228.0	3.72e-73	310	22-301	1.0000	0.9032	false	0.0000		keep
GCA_001560915.1|AR505_0460|AMH94181.1	AMH94181.1	AR505_0460	GCA_001560915.1	methanogenic archaeon ISO4-H5	1495144	COG0258	342	1-342	342	0	most of protein + most of COG profile	153.0	7.81e-44	310	1-309	1.0000	0.9968	false	0.0000		keep
GCA_001765415.1|BHV42_00455|AOR37754.1	AOR37754.1	BHV42_00455	GCA_001765415.1	Candidatus Melainabacteria bacterium MEL.A1	1899017	COG0258	953	1-319	319	1	most of COG profile + part of protein	224.0	1.28e-66	310	7-301	0.3347	0.9516	false	0.0000		keep
GCA_001761425.1|AQV86_05820|AOV95404.1	AOV95404.1	AQV86_05820	GCA_001761425.1	Nanohaloarchaea archaeon SG9	1737403	COG0258	340	1-340	340	0	most of protein + most of COG profile	147.0	1.48e-41	310	1-308	1.0000	0.9935	false	0.0000		keep
GCA_002761215.1|BKN14_00955|ATU05006.1	ATU05006.1	BKN14_00955	GCA_002761215.1	Candidatus Gracilibacteria bacterium HOT-871	1540872	COG0258	435	1-316	316	1	most of COG profile + part of protein	207.0	1.72e-63	310	10-296	0.7264	0.9258	false	0.0000		keep
GCA_003290465.1|BRCON_1535|AXA36312.1	AXA36312.1	BRCON_1535	GCA_003290465.1	Candidatus Sumerlaea chitinivorans	2250252	COG0258	900	1-300	300	1	most of COG profile + part of protein	264.0	2.24e-81	310	13-303	0.3333	0.9387	false	0.0000		keep
