chain	queries	query_count	best_query	identity_percentage	alignment_length	query_start	query_end	subject_start	subject_end	e_value	bit_score	positives_percentage
B1L6R9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	100	342	1	342	1	342	0	692	100
Q980U8.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	99.713	349	3	351	1	349	0	691	100
P61942.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCA_000008085.1|NEQ088|AAR38943.1	100	339	1	339	1	339	0	679	100
B0R5F5.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000006805.1|VNG_RS05300|WP_010902986.1	100	327	1	327	1	327	0	653	100
Q976H6.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	74.359	351	3	351	1	351	0	520	90.03
Q4JAN1.2	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	71.92	349	3	351	1	349	5.54e-175	492	86.82
Q5V5T7.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000006805.1|VNG_RS05300|WP_010902986.1	68.098	326	1	326	1	325	7.58e-160	452	79.75
Q9V0P9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	61.404	342	1	342	1	338	8.58e-146	417	77.19
Q18HK0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000006805.1|VNG_RS05300|WP_010902986.1	63.497	326	1	326	1	325	1.13e-145	416	74.54
O50123.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	61.404	342	1	342	1	338	2.58e-143	411	76.9
Q3IPG8.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000006805.1|VNG_RS05300|WP_010902986.1	66.869	329	1	327	1	328	1.07e-142	409	77.81
C6A1U9.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	58.187	342	1	342	1	338	6.39e-137	395	74.85
O93634.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	61.111	342	1	342	1	338	1.77e-136	394	76.9
C5A639.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	60.234	342	1	342	1	338	2.18e-134	389	75.73
Q5JGN0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	60.526	342	1	342	1	338	1.32e-133	387	75.44
A2BMI0.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	55.682	352	1	351	1	348	9.66e-133	385	74.15
A8M9L3.1	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	56.18	356	1	351	1	349	6.04e-133	385	75
Q9YFY5.3	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	54.441	349	1	342	1	349	3.63e-132	383	73.64
