pdb_chain	queries	query_count	best_query	identity_percentage	alignment_length	query_start	query_end	subject_start	subject_end	e_value	bit_score	positives_percentage
2IZO_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	100	345	7	351	2	346	0	686	100
1MC8_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	61.404	342	1	342	1	338	7.75e-144	411	76.9
1B43_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	61.111	342	1	342	1	338	5.25e-137	394	76.9
3ORY_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	56.338	355	1	351	11	359	2.15e-130	378	72.11
1RXV_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	55.523	344	1	342	1	336	5.13e-122	355	70.64
4WA8_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	50.882	340	15	351	21	355	4.26e-109	324	72.35
1A76_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000019605.1|KCR_RS07330|WP_012310045.1	47.11	346	1	342	1	325	7.62e-99	296	65.32
8YJH_D	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.833	359	1	351	1	344	6.8e-75	237	63.79
1UL1_X	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.429	350	5	351	9	343	1.33e-74	236	64
5ZOD_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.351	342	1	334	1	331	1.46e-74	235	64.91
3Q8K_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.94	333	5	334	9	330	5.69e-74	234	65.17
5FV7_A	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000006805.1|VNG_RS05300|WP_010902986.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	5	GCF_000007005.1|SSO_RS00880|WP_014511501.1	40.351	342	1	334	1	331	3.13e-74	234	64.91
6TNZ_H	GCA_000008085.1|NEQ088|AAR38943.1,GCA_025839675.1|NEF87_004011|UYP47726.1,GCF_000007005.1|SSO_RS00880|WP_014511501.1,GCF_000019605.1|KCR_RS07330|WP_012310045.1	4	GCF_000007005.1|SSO_RS00880|WP_014511501.1	39.554	359	1	351	1	344	1e-73	234	63.51
